Title,Company,Year,Platform,Rating,100%,Platinum,Icon ID,Hours Played,Playthroughs,DLC,Physical
24: The Game,SCE Studio Cambridge,2006,PlayStation 2,3.5,0,0,203,35,2,0,1
A Bug's Life,Traveller's Tales,1998,PlayStation 1,4,1,0,201,48,6,0,1
Abzu,Giant Squid,2016,PlayStation 4,2,1,0,10009,4,1,0,0
ADR1FT,Three One Zero,2016,PlayStation 4,1,0,0,307,7,2,0,0
Alan Wake Remastered,Remedy Entertainment,2021,PlayStation 5,2.5,0,0,20000,9,1,0,0
Animal Crossing: Pocket Camp,Nintendo,2017,iOS,3.5,0,0,10602,34,1,0,0
Armored Core VI: Fires of Rubicon,FromSoftware,2023,PlayStation 5,4,0,0,20205,1,-1,0,1
Asphalt 9: Legends,Gameloft,2018,Switch,2.5,0,0,10402,12,0,0,0
Astro's Playroom,Sony Interactive Entertainment,2020,PlayStation 5,3.5,1,1,10508,6,1,0,0
Balan Wonderworld,Arzest,2021,PlayStation 4,0.5,0,0,601,16,1,0,0
Batman: Arkham Knight,Warner Bros,2015,PlayStation 4,3.5,0,0,10101,4,0,0,0
Biomutant,Experiment 101,2021,PlayStation 5,3.5,1,1,10300,40,1,0,0
Bloodborne,FromSoftware,2015,PlayStation 4,5,1,1,0,78,3,1,1
Brain Age: Train Your Brain in Minutes a Day!,Nintendo,2005,DS,3,0,0,10100,30,1,0,1
Bugs Bunny: Lost in Time,Behaviour Interactive,1999,PlayStation 1,4.5,1,0,400,35,6,0,1
Bugsnax,Young Horses,2020,PlayStation 5,3,1,1,10304,18,1,1,0
Call of Cthulhu,Focus Home Interactive,2018,PlayStation 4,3.5,0,0,10805,6,1,0,0
Captain Toad: Treasure Tracker,Nintendo,2018,Switch,3,1,0,10401,4,1,0,0
Casper: Spirit Dimensions,TDK Mediactive,2001,PlayStation 2,4,1,0,605,30,5,0,1
Chicory: A Colorful Tale,Finji,2021,PlayStation 5,3.5,0,0,10707,9,1,0,0
Cooking Mama,Cooking Mama Limited,2006,DS,2.5,0,0,607,4,1,0,1
Crash Bandicoot 4: It's About Time,Toys for Bob,2020,PlayStation 4,3.5,0,0,800,10,1,0,0
Cyberpunk 2077,CD Projekt RED,2020,PlayStation 4,3.5,1,1,509,113,2,0,1
Cyberpunk 2077,CD Projekt RED,2022,PlayStation 5,4,1,1,509,52,1,0,0
Dark Souls II: Scholar of the First Sin,FromSoftware,2015,PlayStation 4,4,0,0,10400,39,1,1,1
Dark Souls III: The Fire Fades Edition,FromSoftware,2017,PlayStation 4,5,1,1,20002,87,3,1,1
Dark Souls Remastered,FromSoftware,2018,PlayStation 4,4.5,0,0,20001,31,1,0,1
Death Stranding: Director's Cut,Kojima Productions,2021,PlayStation 5,4,0,0,10106,52,1,0,0
Death's Door,Acid Nerve,2021,PlayStation 5,4,1,0,20007,11,1,0,0
Demon's Souls,Bluepoint Games,2020,PlayStation 5,3.5,0,0,10206,39,1,0,1
Detroit: Become Human,Quantic Dream,2018,PlayStation 4,3.5,0,0,10801,21,1,0,0
Devil May Cry 5 Special Edition,CAPCOM,2020,PlayStation 5,2.5,0,0,10703,2,-9,0,0
Disney's Chicken Little,Avalanche Software,2006,PlayStation 2,3.5,1,0,102,15,2,0,1
DOOM (2016),id Software,2016,PlayStation 4,3.5,0,0,6,17,1,0,0
Doom Eternal,id Software,2020,PlayStation 5,3,0,0,10904,5,0,0,0
Dreamworks Madagascar,Toys for Bob,2005,PlayStation 2,3.5,1,0,507,15,2,0,1
Elden Ring,FromSoftware,2022,PlayStation 5,5,1,1,10309,83,1,0,1
Entwined,PixelOpus,2014,PlayStation 4,2.5,0,0,10706,3,1,0,0
Epic Mickey,Disney Interactive Studios,2010,Wii,3,0,0,909,15,1,0,1
Everything,Double Fine Productions,2017,PC,3,0,0,20009,7,1,0,0
EyeToy: Play 2,London Studio,2005,PlayStation 2,4,0,0,903,55,1,0,1
Fallout 4,Bethesda,2015,PlayStation 4,3,0,0,20109,42,1,0,0
Far Cry 3 Classic Edition,Ubisoft,2018,PlayStation 4,3.5,1,1,8,27,1,0,0
Far Cry 5,Ubisoft,2018,PlayStation 4,3.5,0,0,10909,45,1,0,0
Far Cry 6,Ubisoft,2021,PlayStation 5,3,0,0,20105,43,1,0,0
Fez Pocket Edition,Polytron Corporation,2017,iOS,3.5,0,0,10502,8,1,0,0
Final Fantasy Type-0 HD,Square Enix,2015,PlayStation 4,2,0,0,20003,5,0,0,0
Final Fantasy VII,Square Enix,2015,PlayStation 4,4,0,0,10802,16,1,0,0
Final Fantasy VII Remake,Square Enix,2020,PlayStation 4,4.5,0,0,205,72,2,0,0
Final Fantasy VII Remake Intergrade,Square Enix,2021,PlayStation 5,4.5,0,0,205,8,1,1,0
Final Fantasy X HD Remaster,Square Enix,2015,PlayStation 4,3,0,0,10803,17,0,0,0
Final Fantasy XV: Royal Edition,Square Enix,2016,PlayStation 4,4,1,1,708,55,1,0,0
Ghost of Tsushima Director's Cut,Sucker Punch Productions,2021,PlayStation 5,4.5,1,1,10203,64,2,1,0
Goat Simulator,Coffee Stain Publishing,2014,iOS,3.5,0,0,10604,3,0,0,0
God of War,Santa Monica Studio,2018,PlayStation 4,4,1,1,10201,36,1,0,0
Grand Theft Auto: San Andreas,Rockstar,2013,iOS,4,1,0,402,120,4,0,0
Harry Potter and the Sorcerer's Stone,Electronic Arts,2001,PlayStation 1,2.5,0,0,100,15,2,0,1
Hollow Knight: Voidheart Edition,Team Cherry,2018,PlayStation 4,5,1,0,709,52,1,1,0
Horizon Forbidden West,Guerrilla Games,2022,PlayStation 5,4.5,1,1,10800,51,1,0,0
Horizon Zero Dawn: Complete Edition,Guerrilla Games,2017,PlayStation 4,4,1,1,10107,61,2,1,0
Hot Wheels Unleashed,Milestone,2021,PlayStation 5,2.5,0,0,10109,9,1,0,0
Hue,Fiddlesticks Games,2016,PlayStation 4,3.5,1,0,405,7,1,0,0
Human Resource Machine,Tomorrow Corporation,2015,iOS,3.5,0,0,10702,10,0,0,0
Humanity,tha LTD,2023,PlayStation 5,3.5,1,1,10908,14,1,0,0
I Spy Fantasy,Scholastic,2003,PC,3.5,1,0,20101,25,8,0,1
I Spy Spooky Mansion,Scholastic,1999,PC,3.5,1,0,20100,20,7,0,1
I Spy Treasure Hunt,Scholastic,2001,PC,4,1,0,20102,30,9,0,1
Inside,Playdead,2016,PC,3.5,0,0,702,5,1,0,0
Kena: Bridge of Spirits,Ember Lab,2021,PlayStation 5,3.5,0,0,10902,14,1,0,0
Kingdom Hearts,Square Enix,2002,PlayStation 2,4.5,0,0,10008,70,3,0,1
Kingdom Hearts 0.2: Birth by Sleep - A Fragmentary Passage,Square Enix,2017,PlayStation 4,3.5,0,0,10103,15,1,0,1
Kingdom Hearts 358/2 Days,Square Enix,2009,DS,4,0,0,300,10,0,0,0
Kingdom Hearts 3D: Dream Drop Distance,Square Enix,2012,3DS,4,0,0,306,20,1,0,0
Kingdom Hearts 3D: Dream Drop Distance HD,Square Enix,2017,PlayStation 4,4.5,1,1,902,65,2,0,1
Kingdom Hearts Birth by Sleep Final Mix,Square Enix,2014,PlayStation 4,3.5,0,0,108,30,1,0,1
Kingdom Hearts Final Mix,Square Enix,2013,PlayStation 4,5,1,1,807,145,5,0,1
Kingdom Hearts II,Square Enix,2005,PlayStation 2,4.5,1,0,7,60,2,0,1
Kingdom Hearts II Final Mix,Square Enix,2014,PlayStation 4,5,1,1,10001,115,4,0,1
Kingdom Hearts III,Square Enix,2019,PlayStation 4,4.5,1,1,506,161,4,1,1
Kingdom Hearts Melody of Memory,Square Enix,2020,PlayStation 4,4.5,1,1,609,126,1,0,1
Kingdom Hearts Re: Chain of Memories,Square Enix,2013,PlayStation 4,1.5,0,0,404,5,-9,0,1
LEGO 2K Drive,Visual Concepts Entertainment,2023,PlayStation 5,2,0,0,20208,3,-1,0,0
LEGO Batman 3: Beyond Gotham,Traveller's Tales,2014,PlayStation 4,3,1,1,107,21,1,0,0
LEGO Batman: The Videogame,Traveller's Tales,2008,PlayStation 2,3.5,1,0,10003,60,2,0,1
LEGO Bricktales,ClockStone Studio,2022,PlayStation 5,2.5,0,0,20202,9,1,0,0
LEGO Harry Potter: Years 1-4,Traveller's Tales,2016,PlayStation 4,3.5,1,1,900,17,1,0,0
LEGO Harry Potter: Years 5-7,Traveller's Tales,2016,PlayStation 4,3.5,1,1,901,17,1,0,0
LEGO Indiana Jones: The Original Adventures,Traveller's Tales,2008,Wii,3,0,0,207,15,1,0,1
LEGO Jurassic World,Traveller's Tales,2015,PlayStation 4,3,1,1,10303,25,1,0,0
LEGO Lord of the Rings,Traveller's Tales,2012,3DS,3,1,0,4,20,1,0,0
LEGO Pirates of the Caribbean: The Video Game,Traveller's Tales,2011,Wii,3.5,0,0,500,35,2,0,1
LEGO Star Wars II: The Original Trilogy,Traveller's Tales,2006,PlayStation 2,4,0,0,706,40,3,0,1
LEGO Star Wars: The Skywalker Saga,Traveller's Tales,2022,PlayStation 5,2.5,1,1,10308,53,1,0,1
LEGO Star Wars: The Video Game,Traveller's Tales,2005,PlayStation 2,3.5,0,0,804,35,2,0,1
Lies of P,Neowiz Games,2023,PlayStation 5,4,0,0,20204,1,-1,0,1
Little Nightmares,Tarsier Studios,2017,PlayStation 4,3,0,0,905,7,1,0,0
Mario & Luigi: Bowser's Inside Story,AlphaDream,2009,DS,5,1,0,805,105,3,0,1
Mario & Luigi: Dream Team,AlphaDream,2013,3DS,4,0,0,508,28,1,0,0
Mario & Luigi: Paper Jam,AlphaDream,2015,3DS,3,0,0,10102,19,1,0,0
Mario + Rabbids Kingdom Battle,Ubisoft,2017,Switch,2.5,0,0,10405,2,-9,0,0
Mario Kart 7,Nintendo,2011,3DS,3.5,0,0,10307,7,1,0,0
Mario Kart 8 Deluxe,Nintendo,2017,Switch,4.5,0,0,704,15,1,0,0
Mario Kart DS,Nintendo,2005,DS,5,1,0,200,110,1,0,1
Mario Kart Tour,Nintendo,2019,iOS,3,0,0,10601,20,1,0,0
Mario Kart Wii,Nintendo,2008,Wii,5,1,0,10000,75,1,0,1
Mario Party 9,Nintendo,2012,Wii,2.5,0,0,105,2,1,0,0
Mario Party DS,Nintendo,2005,DS,4,0,0,908,50,1,0,1
Marvel's Spider-Man,Insomniac Games,2018,PlayStation 4,4,0,0,403,26,1,0,0
Marvel's Spider-Man: Miles Morales,Insomniac Games,2020,PlayStation 5,3.5,0,0,10708,18,1,0,0
Meet the Robinsons,Avalanche Software,2007,PlayStation 2,4,1,0,305,30,6,0,1
Middle-earth: Shadow of Mordor,Monolith Productions,2014,PlayStation 4,2,1,0,10608,20,1,0,0
Minecraft,Mojang,2010,PC,4.5,0,0,209,305,1,0,0
Minecraft Dungeons,Mojang,2020,PlayStation 4,3.5,0,0,10808,12,1,0,0
Minecraft Earth,Mojang,2019,iOS,3,0,0,10600,10,1,0,0
Minecraft Pocket Edition,Mojang,2012,iOS,4,0,0,10606,130,1,0,0
Mortal Shell: Enhanced Edition,Cold Symmetry,2020,PlayStation 5,3.5,0,0,10901,16,1,0,0
Moving Out,SMG Studio,2020,PlayStation 4,3,1,1,302,11,1,0,0
Moving Out 2,SMG Studio,2023,PlayStation 5,3,1,1,309,10,1,0,0
MySims Agents,Electronic Arts,2009,DS,4,0,0,3,45,2,0,1
Myst III: Exile,Ubisoft,2002,PlayStation 2,3.5,0,0,5,30,0,0,1
New Super Mario Bros.,Nintendo,2006,DS,4,0,0,409,60,3,0,1
New Super Mario Bros. U Deluxe,Nintendo,2019,Switch,3,0,0,10406,3,0,0,0
Nicktoons Movin',Mass Media,2004,PlayStation 2,3,0,0,701,20,1,0,1
NieR Replicant ver.1.22474487139...,Cavia,2021,PlayStation 4,3,0,0,20106,19,1,0,0
Nintendogs: Best Friends,Nintendo,2005,DS,2.5,0,0,604,30,1,0,1
Nioh,Team Ninja,2017,PlayStation 4,2.5,0,0,10705,3,0,0,0
Observer: System Redux,Bloober Team,2020,PlayStation 4,3,0,0,10006,15,1,0,0
Oddworld: Soulstorm Enhanced Edition,Oddworld Inhabitants,2021,PlayStation 5,2,0,0,10207,2,-9,0,0
Omno,Studio InkyFox,2021,PlayStation 4,3,1,1,10609,8,1,0,0
Outer Wilds,Mobius Digital,2019,PlayStation 4,2.5,0,0,703,2,0,0,0
Pac-Man World,Namco Hometek,1999,PlayStation 1,4.5,0,0,504,60,4,0,1
Pac-Man World Re-Pac,Bandi Namco,2022,PlayStation 5,4,1,0,10907,9,1,0,0
Paper Mario,Nintendo,2000,Nintendo 64,5,1,0,501,135,5,0,0
Paper Mario: The Origami King,Nintendo,2020,Switch,4,1,0,2,70,2,0,0
Paper Mario: The Thousand-Year Door,Nintendo,2004,GameCube,4.5,0,0,606,15,0,0,0
Pokemon Crystal,Game Freak,2000,Game Boy Color,3,0,0,10700,30,0,0,1
Pokemon Mystery Dungeon: Blue Rescue Team,Chunsoft,2005,DS,3.5,0,0,10004,10,0,0,1
Pokemon Y,Game Freak,2013,3DS,3,0,0,10104,15,0,0,1
Powerwash Simulator,FuturLab,2022,PlayStation 5,3.5,1,1,10905,52,1,0,0
Prince of Persia: The Fallen King,Ubisoft,2008,DS,3,0,0,9,10,0,0,1
Professor Layton and the Diabolical Box,Level-5,2007,DS,4,0,0,801,35,3,0,1
Ratchet & Clank,Insomniac Games,2016,PlayStation 4,4,1,1,10505,20,1,0,0
Ratchet & Clank: Rift Apart,Insomniac Games,2021,PlayStation 5,4.5,1,1,20004,14,1,0,0
Red Dead Redemption 2,Rockstar,2018,PlayStation 4,4.5,0,0,808,80,2,0,1
Resident Evil 4,CAPCOM,2023,PlayStation 5,4,0,0,20203,1,-1,0,1
Resident Evil 7: Biohazard,CAPCOM,2017,PlayStation 4,4,0,0,10202,15,1,0,0
Resident Evil Village,CAPCOM,2021,PlayStation 4,5,1,0,503,63,6,0,1
Resident Evil Village,CAPCOM,2021,PlayStation 5,5,0,0,503,12,0,0,0
Returnal,Housemarque,2021,PlayStation 5,3,0,0,10209,16,0,0,0
Rez Infinite,United Game Artists,2016,PlayStation 4,2.5,0,0,10302,2,1,0,0
Sackboy: A Big Adventure,Sumo Digital,2020,PlayStation 5,2.5,0,0,20008,6,0,0,0
Samurai Jack: The Amulet of Time,BAM! Entertainment,2003,Game Boy Advance,3,0,0,10806,35,0,0,1
Scooby-Doo! Night of 100 Frights,Heavy Iron Studios,2002,PC,3,0,0,10504,20,1,0,1
Scribblenauts,5th Cell,2009,DS,4.5,0,0,705,90,1,0,1
Scribblenauts Unlimited,5th Cell,2012,PlayStation 4,3.5,1,0,10305,10,1,0,0
Scribblenauts Unmasked: A DC Comics Adventure,5th Cell,2013,PlayStation 4,2.5,0,0,10306,4,1,0,0
Sea of Stars,Sabotage Studio,2023,PlayStation 5,4.5,1,1,20103,41,1,0,0
Shadow of the Colossus,Bluepoint Games,2018,PlayStation 4,3.5,0,0,904,10,1,0,0
Sky: Children of the Light,Thatgamecompany,2019,Switch,3,0,0,10404,40,2,0,0
Sly 2: Band of Thieves,Sony Computer Entertainment,2004,PlayStation 2,3,0,0,301,10,1,0,1
SOMA,Frictional Games,2015,PlayStation 4,2.5,1,0,406,8,1,0,0
South Park: The Fractured but Whole,Ubisoft,2017,PlayStation 4,3.5,0,0,10507,25,1,0,0
South Park: The Stick of Truth,Ubisoft,2014,PlayStation 4,4,0,0,10506,30,1,0,0
Spongebob Squarepants: Battle for Bikini Bottom - Rehydrated,THQ Nordic,2019,PlayStation 4,3,0,0,20006,7,1,0,0
Spyro 2: Ripto's Rage!,Insomniac Games,1999,PlayStation 1,4.5,1,1,505,130,7,0,1
Spyro Orange: The Cortex Conspiracy,Vicarious Visions,2004,Game Boy Advance,3.5,0,0,10105,35,2,0,1
Spyro Reignited Triology,Activision,2018,PlayStation 4,4.5,1,0,806,210,11,0,1
Spyro the Dragon,Insomniac Games,1998,PlayStation 1,5,1,1,202,165,9,0,1
Spyro: A Hero's Tail,Sierra Entertainment,2004,PlayStation 2,2.5,0,0,407,15,0,0,0
Spyro: Year of the Dragon,Insomniac Games,2000,PlayStation 1,5,1,1,907,115,6,0,1
Star Wars Jedi: Fallen Order,Respawn Entertainment,2019,PlayStation 5,4,1,1,10607,28,1,0,0
Stray,BlueTwelve,2022,PlayStation 4,3.5,1,1,602,10,2,0,0
Super Kirby Clash,HAL Laboratory,2019,Switch,2.5,0,0,10403,15,0,0,0
Super Mario 64,Nintendo,2020,Switch,3.5,0,0,10408,5,0,0,0
Super Mario 64 DS,Nintendo,2004,DS,5,1,0,206,80,3,0,1
Super Mario Galaxy,Nintendo,2007,Wii,4.5,1,0,10005,110,4,0,1
Super Mario Galaxy 2,Nintendo,2010,Wii,4,0,0,802,50,2,0,1
Super Mario Odyssey,Nintendo,2017,Switch,5,1,0,1,140,3,0,0
Super Mario Run,Nintendo,2016,iOS,2.5,0,0,10603,10,1,0,0
Super Mario Sunshine,Nintendo,2020,Switch,3.5,0,0,10409,20,0,0,0
Super Paper Mario,Nintendo,2007,Wii,3,0,0,603,6,0,0,1
Super Princess Peach,Nintendo,2005,DS,3,0,0,809,35,1,0,1
Super Smash Bros. Ultimate,Nintendo,2018,Switch,3,0,0,10501,8,1,0,1
Superliminal,Pillow Castle,2019,PlayStation 5,3,1,0,20207,6,2,0,0
Teardown,Tuxedo Labs,2023,PlayStation 5,3,0,0,20201,6,1,0,0
Tetris Effect: Connected,Enhance Games,2020,PlayStation 4,3.5,0,0,10301,17,1,0,0
The Adventures of Cookie & Cream,FromSoftware,2001,PlayStation 2,2.5,0,0,204,10,1,0,1
The Backyardigans: Super Spy Adventure,Nickelodeon,2007,Flash,2.5,0,0,10701,20,2,0,0
The Callisto Protocol,Striking Distance Studios,2022,PlayStation 5,4,0,0,20107,11,1,0,0
The Dark Pictures Anthology: House of Ashes,Supermassive Games,2021,PlayStation 5,3.5,0,0,20108,6,1,0,0
The Dark Pictures Anthology: Little Hope,Supermassive Games,2020,PlayStation 5,3.5,0,0,10407,5,1,0,0
The Dark Pictures Anthology: Man of Medan,Supermassive Games,2019,PlayStation 5,3,0,0,10205,6,2,0,0
The Elder Scrolls III: Morrowind - Game of the Year Edition,Bethesda,2003,PC,4,0,0,10208,20,0,0,0
The Elder Scrolls V: Skyrim - Special Edition,Bethesda,2016,PlayStation 5,5,1,1,10204,81,1,1,0
The Elder Scrolls: Blades,Bethesda,2020,iOS,3,0,0,10509,30,0,0,0
The Grinch,Konami,2000,PlayStation 1,5,1,0,10200,65,4,0,1
The Last of Us Part II,Naughty Dog,2020,PlayStation 4,4.5,1,1,600,75,3,0,1
The Last of Us: Remastered,Naughty Dog,2014,PlayStation 4,4,1,0,103,62,2,0,1
The Legend of Spyro: A New Beginning,Sierra Entertainment,2006,PlayStation 2,3,0,0,304,12,1,0,0
The Legend of Spyro: The Eternal Night,Krome Studios,2007,PlayStation 2,3,0,0,10503,7,0,0,0
The Legend of Zelda: Breath of the Wild,Nintendo,2017,Switch,5,1,0,502,225,2,0,1
The Legend of Zelda: Four Swords Anniversary Edition,Nintendo,2011,DSiWare,2.5,0,0,803,5,0,0,0
The Legend of Zelda: Link's Awakening,Nintendo,2019,Switch,3.5,0,0,608,6,0,0,0
The Legend of Zelda: Majora's Mask 3D,Nintendo,2015,3DS,3.5,0,0,10007,3,0,0,0
The Legend of Zelda: Ocarina of Time 3D,Nintendo,2011,3DS,4,0,0,109,5,0,0,0
The Legend of Zelda: Oracle of Ages,Nintendo,2001,Game Boy Color,4,0,0,101,40,0,0,1
The Legend of Zelda: Phantom Hourglass,Nintendo,2007,DS,2.5,0,0,401,3,0,0,0
The Legend of Zelda: Skyward Sword,Nintendo,2011,Wii,3.5,1,0,707,95,3,0,1
The Legend of Zelda: Skyward Sword HD,Nintendo,2021,Switch,4.5,1,0,303,60,2,0,1
The Legend of Zelda: Tears of the Kingdom,Nintendo,2023,Switch,5,0,0,10906,145,1,0,1
The LEGO Movie Videogame,Traveller's Tales,2014,PlayStation 4,3.5,1,1,308,17,1,0,0
The Medium,Bloober Team,2021,PlayStation 4,3,0,0,10108,7,1,0,0
The Polar Express,Tantalus Interactive,2004,Game Boy Advance,3,0,0,208,10,2,0,1
The Quarry,Supermassive Games,2022,PlayStation 5,3.5,1,0,10804,15,2,0,0
The Rescue of Princess Blobette,Imagineering,1991,Game Boy,2,0,0,408,5,0,0,1
The Talos Principle,Croteam,2014,PlayStation 4,3,0,0,20005,6,0,0,0
The Walking Dead,Telltale Games,2012,iOS,3,0,0,10807,20,1,0,0
The Wither 3: Wild Hunt - Complete Edition,CD Projekt RED,2022,PlayStation 5,4,0,0,20206,32,-1,1,0
Theatrhythm Final Bar Line,Square Enix,2023,PlayStation 4,4.5,1,1,10704,125,1,0,1
Thymesia,OverBorder Studio,2022,PlayStation 5,4,1,0,20200,13,1,0,0
Toy Story 2: Buzz Lightyear to the Rescue,Traveller's Tales,1999,PlayStation 1,5,1,0,700,44,4,0,1
Uncharted 4: A Thief's End,Naughty Dog,2016,PlayStation 5,4,0,0,10809,13,1,0,0
Uncharted: The Lost Legacy,Naughty Dog,2017,PlayStation 5,3.5,0,0,10900,5,1,0,0
Unpacking,Witch Beam,2021,PlayStation 5,3,1,1,20104,4,1,0,0
Until Dawn,Supermassive Games,2015,PlayStation 4,3,0,0,10709,7,1,0,0
WairoWare D.I.Y.,Nintendo,2009,DS,4.5,0,0,10002,80,1,0,1
Warframe,Digital Extremes,2018,Switch,4,0,0,10500,163,1,0,0
Watch Dogs,Ubisoft,2014,PlayStation 4,3.5,0,0,106,30,1,0,0
What Remains of Edith Finch,Giant Sparrow,2017,PlayStation 4,2.5,1,1,10903,4,1,0,0
Wii Sports,Nintendo,2006,Wii,4.5,0,0,104,45,1,0,1
Wii Sports Resort,Nintendo,2009,Wii,5,0,0,906,105,1,0,1
World of Goo,2D Boy,2013,iOS,3.5,0,0,10605,6,0,0,0
