Series,World,Song Title,Type,Beginner,Standard,Proud
Kingdom Hearts,Other,Kairi I,Memory Dive,9850000,9764706,9667808
Kingdom Hearts,Other,Simple and Clean,Memory Dive,9532915,9711416,9730702
Kingdom Hearts,Other,Simple and Clean,Field,9902367,9841772,9773196
Kingdom Hearts,Destiny Islands,Destiny Islands,Field,9916084,9845588,9593220
Kingdom Hearts,Destiny Islands,Bustin' Up on the Beach,Field,9753968,9887967,9553167
Kingdom Hearts,Traverse Town,Traverse Town,Field,9739130,9885106,9777607
Kingdom Hearts,Wonderland,Welcome to Wonderland,Field,9883333,9860887,9906250
Kingdom Hearts,Wonderland,To Our Surprise,Field,9770115,9792169,9848776
Kingdom Hearts,Olumpus Coliseum,Olympus Coliseum,Field,9713115,9856275,9787129
Kingdom Hearts,Olumpus Coliseum,Go for It!,Field,9842105,9860360,9516593
Kingdom Hearts,Traverse Town,Hand in Hand,Field,9972093,9912969,9870748
Kingdom Hearts,Agrabah,A Day in Agrabah,Field,9846939,9799043,9770642
Kingdom Hearts,Agrabah,Arabian Dream,Field,9757642,9961297,9939271
Kingdom Hearts,Monstro,A Very Small Wish,Field,9901923,9813665,9816701
Kingdom Hearts,Monstro,Monstrous Monstro,Field,9691176,9864000,9734522
Kingdom Hearts,Atlantica,Under the Sea,Field,9677632,9714953,9693613
Kingdom Hearts,Atlantica,An Adventure in Atlantica,Field,9831551,9868687,9200441
Kingdom Hearts,Halloween Town,This is Halloween,Field,9831950,9886628,9843243
Kingdom Hearts,Halloween Town,Spooks of Halloween Town,Field,9781609,9813984,9898687
Kingdom Hearts,Never Land,Captain Hook's Pirate Ship,Field,9733990,9851145,9661429
Kingdom Hearts,Never Land,Pirate's Gigue,Field,9839024,9892453,9823077
Kingdom Hearts,Hollw Bastion,Hollow Bastion,Field,9864583,9750000,9288485
Kingdom Hearts,Hollw Bastion,Scherzo Di Notte,Field,9807882,9908360,9866265
Kingdom Hearts,End of the World,End of the World,Field,9732759,9896996,9785088
Kingdom Hearts,End of the World,Fragments of Sorrow,Field,9741597,9829815,9639630
Kingdom Hearts,Darkened World,Night of Fate,Field,9903509,9833333,9655945
Kingdom Hearts,Darkened World,Destiny's Force,Field,9920118,9717042,9331772
Kingdom Hearts,Darkened World,Shrouding Dark Cloud,Field,9925339,9971246,9744446
Kingdom Hearts,Darkened World,Squirming Evil,Field,9893939,9938312,9841727
Kingdom Hearts,Darkened World,Guardando nel buio,Field,9910550,9870833,9931193
