ID,Series,Title,Type,Basic,Expert,Ultimate,Supreme
1,Final Fantasy,Opening Theme,EMS,9836735,9793296,0,-
2,Final Fantasy,Main Theme,FMS,9345865,9903509,0,-
3,Final Fantasy,Castle Cornelia,FMS,9786667,9812865,0,-
4,Final Fantasy,Battle,BMS,9869688,9689405,0,-
5,Final Fantasy,Opening Theme,FMS,9919414,9938326,0,-
6,Final Fantasy,Matoya's Cave,FMS,9927273,9821656,0,-
7,Final Fantasy,Miniboss Battle,BMS,9855814,9831897,0,0
8,Final Fantasy,Mt. Gulg,FMS,9858824,9475572,0,0
9,Final Fantasy,Airship,FMS,9825000,9712617,0,-
10,Final Fantasy,Sunken Shrine,FMS,9820144,9748780,0,-
11,Final Fantasy,Final Battle,BMS,9720745,9725515,0,0
12,Final Fantasy II,The Rebel Army,EMS,9607527,9731579,0,-
13,Final Fantasy II,Battle Theme 1,BMS,9628499,9605087,0,0
14,Final Fantasy II,The Rebel Army,BMS,9774510,9733205,0,-
15,Final Fantasy II,Town,FMS,9688372,9963068,0,-
16,Final Fantasy II,Main Theme,FMS,9158874,9769602,0,-
17,Final Fantasy II,Dungeon,FMS,9971888,9817284,0,-
18,Final Fantasy II,The Imperial Army,FMS,9749077,9897826,0,-
19,Final Fantasy II,Chocobo Theme,FMS,9852792,9709375,0,-
20,Final Fantasy II,Tower of  the Magi,FMS,9849650,9811111,0,0
21,Final Fantasy II,Battle Theme A,BMS,9764172,9487830,0,0
22,Final Fantasy II,Battle Theme 2,BMS,9890110,9823472,0,0
23,Final Fantasy II,Finale,FMS,9614583,9901695,0,-
24,Final Fantasy III,"Elia, the Maiden of Water",EMS,9764463,9797654,0,-
25,Final Fantasy III,Crystal Cave,FMS,9799180,9767123,0,-
26,Final Fantasy III,Battle 1,BMS,9895141,9651020,0,0
27,Final Fantasy III,Eternal Wind,FMS,9907692,9865510,0,0
28,Final Fantasy III,The Boundless Ocean,FMS,9642077,9897030,0,-
29,Final Fantasy III,"Elia, the Maiden of Water",FMS,9788462,9874608,0,-
30,Final Fantasy III,Salonia,FMS,9790262,9973684,0,-
31,Final Fantasy III,Let Me Know the Truth,FMS,9689420,9914657,0,-
